,id,duration_ms,explicit,name,popularity,album_type,album_name,release_date,artist_name
1252,0B9HmklSLxw5HY3mCjoAqP,182893,False,Yo Soy Quien (feat. Camila),35,album,Esencial Chambao,2013-07-23,Chambao
1253,0LkzYYJ1lerrjoEc6wFKkw,222466,False,La Mejor Parte De Mi,27,album,La Vida Es Un Ratico,2007-01-01,Juanes
1254,0PB0O24JqAuNdOAFVJljMS,208125,True,Coco Chanel,76,album,3MEN2 KBRN,2023-03-17,Eladio Carrion
1255,0lK2JLm8XIl9MyY7gR9vSV,362306,False,One Big Mob,32,album,One Hot Minute (Deluxe Edition),1995-09-12,Red Hot Chili Peppers
1256,1GTqXrHEVVvLvn4DM1QR1B,214653,True,Culpable,27,album,Gangster Original,2021-12-03,Yung Beef
1257,1Rq0c7NwNpEiG83ayqKb6x,393906,True,Deep Kick,33,album,One Hot Minute,1995-09-12,Red Hot Chili Peppers
1258,2KGVGVkUqHTzCXOVoJJW3l,243106,False,Pokito A Poko (David Ferrero Housepark Sing Remix)Bonus Track,20,album,Chambao Caminando,2002-12-04,Chambao
1259,2QsJvQBbRvD38jfXJmXlwE,176796,True,Stupit,6,single,Stupit,2018-06-10,P.A.W.N. Gang
1260,2URkQFOAQgH1oWf62IiF74,294560,False,Busco Cielos - Versión 2022,19,album,Desatinos Desplumados,2022-04-28,Manolo Garcia
1261,2t0wwvR15fc3K1ey8OiOaN,222093,False,Selfless,68,album,The New Abnormal,2020-04-10,The Strokes
1262,2uLx57IlAD33QqVedD94WC,196480,False,Son Ilusiones,20,album,Hasta Aquí Hemos Llegado,2008-01-01,Los Chichos
1263,2xp6eyIn5TOh448bAQkNMH,254866,False,Sueño y Muero - En Directo,12,album,De Chambao a la Mari: Último Concierto,2018-06-22,Chambao
1264,35UUpTmrcFXNIVIN26ujXl,247308,False,Relación - Remix,67,single,Relación (Remix),2020-09-04,Sech
1265,3BomnHfqKZCdPJC9bkGBjE,193959,True,On My Way,73,album,World Of Walker,2021-11-26,Alan Walker
1266,3CDGdnri4kiyWKlcl25bYJ,184000,True,Tofu Delivery,49,single,Tofu Delivery,2021-10-29,Orslok
1267,3D1TRtYdXGU9rVqUTB8BFs,303560,False,Hollywood (Africa) - Remastered,32,album,Freaky Styley,1985-08-16,Red Hot Chili Peppers
1268,3mt2DCsMidMgrDkVLYB47s,362306,False,One Big Mob,31,album,One Hot Minute,1995-09-12,Red Hot Chili Peppers
1269,42C5Bbb4dHwS5OFMvtGkG2,193109,False,Un Veneno,51,single,Un Veneno,2018-11-22,C. Tangana
1270,4DbjiOHuCNLOZOaGpBUsa0,190840,False,Tinc Una Bèstia Dintre Meu,28,album,Oh my Love,2012-03-13,Quimi Portet
1271,4jKOUTB2lIoPLubbFWz9lX,297000,False,Guapo Tarde,43,album,El Círculo (Versión Exclusiva de Spotify),2016-09-23,Kase.O
1272,4zf78h85BhpcTeiwjFav4a,198000,False,Kodoku,0,album,DEATH NOTE Original Soundtrack,2006-12-21,Hideki Taniuchi
1273,5sNESr6pQfIhL3krM8CtZn,205733,True,Numb / Encore,79,single,Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,2004-11-30,JAY-Z
1274,65xghLRhFJr8n4k7P6jy80,145706,False,Una décima de segundo - Piano bar,36,album,Una Décima de Segundo,1983-01-03,Nacha Pop
1275,6I8thLNz0QxMK0pklaL6Av,188871,False,Fatal,33,album,Tiene que haber algo más,2021-11-26,Alizzz
1276,74tLlkN3rgVzRqQJgPfink,386906,True,Money Trees,81,album,"good kid, m.A.A.d city",2012,Kendrick Lamar
1277,75pQqzwgCjUOSSy5CpmAjy,160638,False,Pero Ya No,66,album,YHLQMDLG,2020-02-29,Bad Bunny
1278,7yUwOMT0muqtDHsLFMmFIY,218440,False,"Subo Escalas, Bajo Escalas - Maqueta",7,album,Todo Es Ahora,2014-11-24,Manolo Garcia
1279,3tdYVOUZNRRQE4ZPcT27I0,225254,False,Agua (feat. Manolo García),22,album,30 aniversario o tratado sobre jardinería,2024-03-22,Elefantes
1280,71hAjSpWpvyDE9zT3Xawjx,264280,False,Que Te Vaya Bien,30,single,4 Canciones,2007-03-19,Los Ronaldos
1281,0RD94y2DlYTzEePb4WuVbU,167251,False,qué le pasa conmigo?,77,album,ALMA,2023-05-18,Nicki Nicole
1282,0ovVhnQz8l1HfVl94qxtuC,215066,False,path of the wind,43,album,Simple Things,2018-05-27,aekasora
1283,0ytvsZOerGzUWfHXVT2Sgy,205766,False,Eternal Youth,62,album,Eternal Youth,2017-08-07,RŮDE
1284,3DmQvbSuwGoDJkDm369GEz,178200,False,Plan A,65,album,Back To The Game,2022-11-23,Paulo Londra
1285,3FbJ0obDn4bXAZESs7ycg6,114932,False,A Quiet Evening,29,single,A Quiet Evening,2020-11-30,Voron
1286,3wPK4mTmc3N5IU0SrrVlH4,145617,False,Hatsukoi,35,single,Answer Love,2019-03-14,Lilac
1287,539iCq2nwEJqYZ734hssyI,208346,False,A MI NOMBRE,69,album,SAYONARA,2024-05-17,Alvaro Diaz
1288,5Vm7XZU2N8pGQ64ilgmDKV,176760,False,Hotel Miramar,10,album,Los Ojos Del Mar,1999,Fernando Ubiergo
1289,6D8y7Bck8h11byRY88Pt2z,185917,False,Houdini,82,album,Radical Optimism,2024-05-03,Dua Lipa
1290,6pVmnP2zpWqmMTHiwUnpqq,281306,False,Maggie despierta - Maggie May,46,album,Sin Enchufe,2001,M-Clan
1291,7bXL7hY6JAHNrNM7gf4ke0,481906,False,In Love Dying,24,single,In Love Dying,2013-02-01,Red Hot Chili Peppers
1292,0FWJSndLjGmAylGrZT4MGM,165353,False,Saitama Bloom,31,album,Wayfarers,2021-09-03,Raimu
1293,0KIV9DLd5GiMpCk5MTvXtk,192020,False,Distant,27,single,Distant,2020-12-11,shinobi lite
1294,0aZ00bASQBIz6MmnH9rjdt,146675,False,The Dawn,52,single,Cold Thoughts,2022-08-01,Nothingtosay
1295,0fi81PMYMsGT8h0FI9tYay,118182,False,m i s t,52,album,ep seeds,2017-03-16,eevee
1296,0gYWN8f20QtE3DVLxygltZ,231492,False,Laberinto de Sueños (En las Geometrías del Rayo),35,single,Laberinto de Sueños (En las Geometrías del Rayo),2022-03-11,Manolo Garcia
1297,0niiRKkWIfssxMkmk2ulaD,132537,False,Elf,47,album,Sunny Hill,2022-12-08,Blue Fox
1298,1E4Yg8yE9TToi6bC6fVk4P,130285,False,Fjallstoppur,34,compilation,Cozy Winter,2021-01-16,Enluv
1299,1FHe94X1RD88FTEVSuJFxv,182649,False,Koto Walks,26,single,Things Will Get Better,2019-04-11,Dokkodo Sounds
1300,1J4eigKsfpBLJ4vvJBNBFn,122785,False,Somewhere in China,21,album,Shinee Bumps,2018-05-17,Sakura
1301,2JtJF72Skt6TXhE57ibwic,140800,False,Ash,50,single,Ash,2023-04-13,ticofaces
1302,2KCHPYdD9sZHXzl6C6MRd5,104220,False,Camden to Chinatown,31,album,Shelter,2021-07-09,Loafy Building
1303,2Ne4JIzUtbBE2FupJc1zGF,157500,False,Nightingale,38,single,Nightingale,2021-06-25,Raimu
1304,2OK3tC9js66XID48srhKr9,244626,False,Chicuelo,15,album,Pokito A Poko,2005,Chambao
1305,2Uy3YqGCfiZ4aIfp9mD5Lx,174216,False,A Traveler's Tale,37,single,A Traveler's Tale,2020-05-06,Tenno
1306,2v1GOJAYFs0iNvrkWMKNQW,153000,False,Bodies,51,album,Staring Through,2020-07-23,kudo
1307,3sDetzIBUriZbkkFKbAa0U,202000,False,Corporate Japan,32,album,Beets 4,2017-03-20,Birocratic
1308,3yGVIzliF0fcy6pcjO02hS,160000,False,Arisa,36,album,Hanagasumi,2020-07-14,DaniSogen
1309,47zTgyJ3YIWWGdo6FREfMp,262000,False,Sunflower Samurai,39,album,Kick This,2015-04-03,Jazzinuf
1310,4EUSV6ui3fQ6HFwuIK7g4T,226293,False,Junto A Ti,36,album,Los Dias Intactos,2011-11-17,Manolo Garcia
1311,4rgoALRoYz0l97g4QEzRsv,240880,False,Cosas Que Pasan (En Directo) - [Bonus Track],11,album,"El Último de la Fila, los Burros & los Rápidos...Historia de una Banda (Autobiografía Sónica)",1980,El Último De La Fila
1312,5D2WgOqooIdPdGPkKpQskQ,142542,False,Ballads,40,album,Blue Hour,2021-09-11,ENRA
1313,5oEBS4no0GgOXk4Iu1v4vN,153333,False,Koi Pond,31,single,Stories From Japan II,2020-11-27,Vindu
1314,6A1744xHgedQuN7c4FPsB4,175038,False,Jing,24,compilation,Night in Osaka,2022-06-13,TonybtM
